26-05-30 14:00:19.894 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.journalLatest.JornalApplicationTests], using SpringBootContextLoader 
26-05-30 14:00:19.907 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.journalLatest.JornalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
26-05-30 14:00:19.909 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.journalLatest.JornalApplicationTests]: JornalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
26-05-30 14:00:20.062 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.journalLatest.JornalApplication for test class com.journalLatest.JornalApplicationTests 
26-05-30 14:00:20.195 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
26-05-30 14:00:20.218 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6f2cfcc2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7f6f61c8, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4c2cc639, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@ccb4b1b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4097cac, org.springframework.test.context.support.DirtiesContextTestExecutionListener@ec2cc4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2a5b3fee, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7c1e2a2d, org.springframework.test.context.event.EventPublishingTestExecutionListener@333dd51e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@52d645b1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2101b44a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2cc3ad05, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@710b18a6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@119020fb, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3d9f6567] 
26-05-30 14:00:20.719 [main] INFO  c.j.JornalApplicationTests - Starting JornalApplicationTests using Java 17.0.10 on LAPTOP-H6MCVL77 with PID 7464 (started by 91828 in C:\jornal\journal_Application_Backend) 
26-05-30 14:00:20.720 [main] INFO  c.j.JornalApplicationTests - The following 1 profile is active: "dev" 
26-05-30 14:00:21.715 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-05-30 14:00:21.787 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 2 MongoDB repository interfaces. 
26-05-30 14:00:22.845 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-srv-cluster0.2wfvvt9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017 to client view of cluster 
26-05-30 14:00:22.870 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.10+11-LTS-240", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='rajat', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@76f881d9]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.2wfvvt9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-azlc8l-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
