26-05-31 23:13:47.772 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.journalLatest.Repository.UserRepositoryTest], using SpringBootContextLoader 
26-05-31 23:13:47.818 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.journalLatest.Repository.UserRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
26-05-31 23:13:47.819 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.journalLatest.Repository.UserRepositoryTest]: UserRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
26-05-31 23:13:48.230 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.journalLatest.JornalApplication for test class com.journalLatest.Repository.UserRepositoryTest 
26-05-31 23:13:48.603 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
26-05-31 23:13:48.656 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@aa549e5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@36f48b4, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5c00384f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3b7ff809, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1bb564e2, org.springframework.test.context.support.DirtiesContextTestExecutionListener@62e6b5c8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3f792b9b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7b8233cd, org.springframework.test.context.event.EventPublishingTestExecutionListener@4b20ca2b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1cbf6e72, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6aecbb8d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1af146, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4da602fc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2a8d39c4, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@25b2cfcb] 
26-05-31 23:13:49.814 [main] INFO  c.j.Repository.UserRepositoryTest - Starting UserRepositoryTest using Java 21.0.4 on LAPTOP-H6MCVL77 with PID 16620 (started by 91828 in C:\jornal\journal_Application_Backend) 
26-05-31 23:13:49.816 [main] INFO  c.j.Repository.UserRepositoryTest - The following 1 profile is active: "dev" 
26-05-31 23:13:51.726 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-05-31 23:13:51.884 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 146 ms. Found 3 MongoDB repository interfaces. 
26-05-31 23:13:53.369 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-srv-cluster0.2wfvvt9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017 to client view of cluster 
26-05-31 23:13:53.400 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/21.0.4+7-LTS", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='rajat', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@50b0afd7]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.2wfvvt9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-azlc8l-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
26-05-31 23:13:53.417 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-srv-cluster0.2wfvvt9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 to client view of cluster 
26-05-31 23:13:53.422 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-srv-cluster0.2wfvvt9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017 to client view of cluster 
26-05-31 23:13:54.433 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@7f5fcfe9 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
26-05-31 23:13:55.458 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:181672}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-31 23:13:55.458 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:167220}] to ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017 
26-05-31 23:13:55.458 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:166805}] to ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017 
26-05-31 23:13:55.458 [cluster-rtt-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:181672}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-31 23:13:55.459 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1293810800, setName='atlas-azlc8l-shard-0', canonicalAddress=ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, hosts=[ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euw1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000164, setVersion=49, topologyVersion=TopologyVersion{processId=6a17383e9ac1754d85a54e74, counter=6}, lastWriteDate=Sun May 31 23:13:55 IST 2026, lastUpdateTimeNanos=30573812375000} 
26-05-31 23:13:55.458 [cluster-rtt-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:167220}] to ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017 
26-05-31 23:13:55.458 [cluster-rtt-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:166805}] to ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017 
26-05-31 23:13:55.459 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1294263600, setName='atlas-azlc8l-shard-0', canonicalAddress=ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, hosts=[ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euw1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=49, topologyVersion=TopologyVersion{processId=6a173937ce104076b302827f, counter=4}, lastWriteDate=Sun May 31 23:13:54 IST 2026, lastUpdateTimeNanos=30573812349100} 
26-05-31 23:13:55.459 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1294124800, setName='atlas-azlc8l-shard-0', canonicalAddress=ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017, hosts=[ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euw1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=49, topologyVersion=TopologyVersion{processId=6a173a9ae8cae516c810b2e0, counter=3}, lastWriteDate=Sun May 31 23:13:55 IST 2026, lastUpdateTimeNanos=30573812349100} 
26-05-31 23:13:55.466 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000164 from replica set primary ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-31 23:13:55.467 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 49 from replica set primary ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-31 23:13:55.467 [cluster-ClusterId{value='6a1c735954cb8879ff79daf7', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-31 23:13:56.604 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:181628}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-31 23:13:58.546 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@c732e1c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6aad919c, org.springframework.security.web.context.SecurityContextPersistenceFilter@7b211077, org.springframework.security.web.header.HeaderWriterFilter@6e068ac9, org.springframework.security.web.authentication.logout.LogoutFilter@3b8507df, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6a6d1ff3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1fcaea93, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@734fbae3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@56c42964, org.springframework.security.web.session.SessionManagementFilter@6a4af081, org.springframework.security.web.access.ExceptionTranslationFilter@446c8c72, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@51af8049] 
