26-06-03 22:59:08.330 [scheduling-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:36, serverValue:319368}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:32.658 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.journalLatest.Service.UserSchedulerTests], using SpringBootContextLoader 
26-06-03 23:01:32.680 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.journalLatest.Service.UserSchedulerTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
26-06-03 23:01:32.681 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.journalLatest.Service.UserSchedulerTests]: UserSchedulerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
26-06-03 23:01:32.895 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.journalLatest.JornalApplication for test class com.journalLatest.Service.UserSchedulerTests 
26-06-03 23:01:33.033 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
26-06-03 23:01:33.060 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@75390459, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7756c3cd, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2313052e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2bd2b28e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@16746061, org.springframework.test.context.support.DirtiesContextTestExecutionListener@57fd91c9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6cfcd46d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@52045dbe, org.springframework.test.context.event.EventPublishingTestExecutionListener@674658f7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5c8eee0f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@565b064f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@26425897, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@73163d48, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@58c34bb3, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@56a4479a] 
26-06-03 23:01:33.576 [main] INFO  c.j.Service.UserSchedulerTests - Starting UserSchedulerTests using Java 21.0.4 on LAPTOP-H6MCVL77 with PID 26736 (started by 91828 in C:\jornal\journal_Application_Backend) 
26-06-03 23:01:33.577 [main] INFO  c.j.Service.UserSchedulerTests - The following 1 profile is active: "dev" 
26-06-03 23:01:34.458 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-06-03 23:01:34.539 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 74 ms. Found 3 MongoDB repository interfaces. 
26-06-03 23:01:35.406 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/21.0.4+7-LTS", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='rajat', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@43cb5f38]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.2wfvvt9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-azlc8l-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
26-06-03 23:01:35.411 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-srv-cluster0.2wfvvt9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017 to client view of cluster 
26-06-03 23:01:35.464 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-srv-cluster0.2wfvvt9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 to client view of cluster 
26-06-03 23:01:35.466 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-srv-cluster0.2wfvvt9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017 to client view of cluster 
26-06-03 23:01:35.933 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@14b528b6 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
